Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
0;0;0;0;0;2021-07-15 06:01:00
0;0;0;0;0;2021-07-15 06:31:00
0;0;0;0;0;2021-07-15 07:01:00
0;0;0;0;0;2021-07-15 07:31:00
0;0;0;0;0;2021-07-15 08:01:00
0;0;0;0;0;2021-07-15 08:31:00
0;0;0;0;0;2021-07-15 09:01:00
0;0;0;0;0;2021-07-15 09:31:00
0;0;0;0;0;2021-07-15 10:01:00
0;0;0;0;0;2021-07-15 10:31:00
0;0;0;0;0;2021-07-15 11:01:00
0;0;0;0;0;2021-07-15 11:31:00
0;0;0;0;0;2021-07-15 12:01:00
0;0;0;0;0;2021-07-15 12:31:00
0;0;0;0;0;2021-07-15 13:01:00
0;0;0;0;0;2021-07-15 13:31:00
0;0;0;0;0;2021-07-15 14:01:00
0;0;0;0;0;2021-07-15 14:31:00
0;0;0;0;0;2021-07-15 15:01:00
0;0;0;0;0;2021-07-15 15:31:00
0;0;0;0;0;2021-07-15 16:01:00
0;0;0;0;0;2021-07-15 16:31:00
0;0;0;0;0;2021-07-15 17:01:00
0;0;0;0;0;2021-07-15 17:31:00
0;0;0;0;0;2021-07-15 18:01:00
0;0;0;0;0;2021-07-15 19:01:00
0;0;0;0;0;2021-07-15 19:33:00
0;0;0;0;0;2021-07-15 20:01:00
0;0;0;0;0;2021-07-15 20:31:00
0;0;0;0;0;2021-07-15 21:02:00
0;0;0;0;0;2021-07-15 21:32:00
0;0;0;0;0;2021-07-15 22:02:00
0;0;0;0;0;2021-07-15 22:32:00
0;0;0;0;0;2021-07-15 23:02:00
0;0;0;0;0;2021-07-15 23:32:00
0;0;0;0;0;2021-07-16 00:01:00
0;0;0;0;0;2021-07-16 00:32:00
0;0;0;0;0;2021-07-16 01:02:00
0;0;0;0;0;2021-07-16 01:33:00
0;0;0;0;0;2021-07-16 02:02:00
0;0;0;0;0;2021-07-16 02:32:00
0;0;0;0;0;2021-07-16 03:05:00
0;0;0;0;0;2021-07-16 03:32:00
0;0;0;0;0;2021-07-16 04:01:00
0;0;0;0;0;2021-07-16 04:32:00
0;0;0;0;0;2021-07-16 05:02:00
0;0;0;0;0;2021-07-16 05:32:00
0;0;0;0;0;2021-07-16 06:01:00
0;0;0;0;0;2021-07-16 06:33:00
0;0;0;0;0;2021-07-16 07:01:00
0;0;0;0;0;2021-07-16 08:03:00
0;0;0;0;0;2021-07-16 08:32:00
0;0;0;0;0;2021-07-16 09:02:00
0;0;0;0;0;2021-07-16 09:32:00
0;0;0;0;0;2021-07-16 10:01:00
0;0;0;0;0;2021-07-16 10:32:00
0;0;0;0;0;2021-07-16 11:03:00
0;0;0;0;0;2021-07-16 11:31:00
0;0;0;0;0;2021-07-16 12:02:00
0;0;0;0;0;2021-07-16 12:33:00
0;0;0;0;0;2021-07-16 14:33:00
0;0;0;0;0;2021-07-16 15:05:00
0;0;0;0;0;2021-07-16 15:32:00
0;0;0;0;0;2021-07-16 16:05:00
0;0;0;0;0;2021-07-16 16:33:00
0;0;0;0;0;2021-07-16 17:10:00
0;0;0;0;0;2021-07-16 19:04:00
0;0;0;0;0;2021-07-16 19:33:00
0;0;0;0;0;2021-07-16 20:02:00
0;0;0;0;0;2021-07-16 20:34:00
0;0;0;0;0;2021-07-16 21:02:00
0;0;0;0;0;2021-07-16 22:03:00
0;0;0;0;0;2021-07-16 22:35:00
0;0;0;0;0;2021-07-16 23:04:00
0;0;0;0;0;2021-07-16 23:34:00
0;0;0;0;0;2021-07-17 01:03:00
0;0;0;0;0;2021-07-17 01:40:00
0;0;0;0;0;2021-07-17 02:33:00
0;0;0;0;0;2021-07-17 03:05:00
0;0;0;0;0;2021-07-17 03:34:00
0;0;0;0;0;2021-07-17 04:35:00
0;0;0;0;0;2021-07-17 05:06:00
0;0;0;0;0;2021-07-17 06:05:00
0;0;0;0;0;2021-07-17 06:35:00
0;0;0;0;0;2021-07-17 07:09:00
0;0;0;0;0;2021-07-17 07:37:00
0;0;0;0;0;2021-07-17 08:34:00
0;0;0;0;0;2021-07-17 09:07:00
0;0;0;0;0;2021-07-17 09:38:00
0;0;0;0;0;2021-07-17 10:09:00
0;0;0;0;0;2021-07-17 10:36:00
0;0;0;0;0;2021-07-17 12:04:00
0;0;0;0;0;2021-07-17 13:03:00
0;0;0;0;0;2021-07-17 13:38:00
0;0;0;0;0;2021-07-17 14:36:00
0;0;0;0;0;2021-07-17 16:07:00
0;0;0;0;0;2021-07-17 17:09:00
0;0;0;0;0;2021-07-17 18:06:00
0;0;0;0;0;2021-07-17 18:36:00
0;0;0;0;0;2021-07-17 20:07:00
0;0;0;0;0;2021-07-17 21:41:00
0;0;0;0;0;2021-07-17 22:08:00
0;0;0;0;0;2021-07-17 22:35:00
0;0;0;0;0;2021-07-17 23:04:00
0;0;0;0;0;2021-07-17 23:48:00
0;0;0;0;0;2021-07-18 00:13:00
0;0,01;0,01;0,13;0,15;2021-08-04 11:31:00
0;0,01;0,01;0,15;0,13;2021-08-04 15:01:00
0;0,01;0,01;0,12;0,11;2021-08-05 11:31:00
0;0,01;0,01;0,17;0,12;2021-08-05 12:01:00
0;0,01;0,01;0,2;0,13;2021-08-05 12:31:00
0;0,01;0,01;0,13;0,14;2021-08-05 13:01:00
0;0,01;0,01;0,16;0,17;2021-08-05 13:31:00
0;0,01;0,01;0,14;0,13;2021-08-05 14:01:00
0;0,01;0,01;0,1;0,17;2021-08-05 14:31:00
0;0,01;0,01;0,1;0,14;2021-08-05 15:01:00
0;0,01;0,01;0,15;0,13;2021-08-05 15:31:00
0;0,01;0,01;0,12;0,13;2021-08-05 16:01:00
0;0,01;0,01;0,13;0,16;2021-08-05 16:31:00
0;0,01;0,01;0,19;0,18;2021-08-05 17:01:00
0;0,01;0,01;0,16;0,16;2021-08-05 17:31:00
0;0,01;0,01;0,11;0,15;2021-08-05 18:01:00
0;0,01;0,01;0,11;0,09;2021-08-05 18:31:00
0;0,01;0,01;0,12;0,12;2021-08-05 19:01:00
0;0,01;0,01;0,12;0,11;2021-08-05 19:31:00
0;0,01;0,01;0,13;0,12;2021-08-05 20:01:00
0;0,01;0,01;0,15;0,12;2021-08-05 20:31:00
0;0,01;0,01;0,16;0,12;2021-08-05 21:01:00
0;0,01;0,01;0,21;0,11;2021-08-05 21:31:00
0;0,01;0,01;0,13;0,14;2021-08-05 22:01:00
0;0,01;0,01;0,12;0,16;2021-08-05 22:31:00
0;0,01;0,01;0,11;0,12;2021-08-05 23:01:00
0;0,01;0,01;0,12;0,11;2021-08-05 23:31:00
0;0,01;0,01;0,12;0,12;2021-08-06 00:01:00
0;0,01;0,01;0,11;0,12;2021-08-06 00:31:00
0;0,01;0,01;0,12;0,09;2021-08-06 01:01:00
0;0,01;0,01;0,12;0,11;2021-08-06 01:31:00
0;0,01;0,01;0,15;0,16;2021-08-06 02:01:00
0;0,01;0,01;0,16;0,12;2021-08-06 02:31:00
0;0,01;0,01;0,17;0,16;2021-08-06 03:01:00
0;0,01;0,01;0,1;0,12;2021-08-06 03:31:00
0;0,01;0,01;0,14;0,11;2021-08-06 04:01:00
0;0,01;0,01;0,15;0,13;2021-08-06 04:31:00
0;0,01;0,01;0,12;0,11;2021-08-06 05:01:00
0;0,01;0,01;0,17;0,16;2021-08-06 05:31:00
0;0,01;0,01;0,14;0,11;2021-08-06 06:01:00
0;0,01;0,01;0,11;0,16;2021-08-06 06:31:00
0;0,01;0,01;0,15;0,1;2021-08-06 07:01:00
0;0,01;0,01;0,11;0,12;2021-08-06 07:31:00
0;0,01;0,01;0,21;0,14;2021-08-06 08:01:00
0;0,01;0,01;0,1;0,12;2021-08-06 08:31:00
0;0,01;0,01;0,18;0,1;2021-08-06 09:01:00
0;0,01;0,01;0,11;0,12;2021-08-06 09:31:00
0;0,01;0,01;0,12;0,15;2021-08-06 10:01:00
0;0,01;0,01;0,14;0,13;2021-08-06 10:31:00
0;0,01;0,01;0,18;0,09;2021-08-06 11:01:00
0;0,01;0,01;0,12;0,14;2021-08-06 11:31:00
0;0,01;0,01;0,17;0,18;2021-08-06 12:01:00
0;0,01;0,01;0,19;0,14;2021-08-06 12:31:00
0;0,01;0,01;0,12;0,12;2021-08-06 13:01:00
0;0,01;0,01;0,14;0,15;2021-08-06 13:31:00
0;0,01;0,01;0,1;0,1;2021-08-06 14:01:00
0;0,01;0,01;0,13;0,16;2021-08-06 14:31:00
0;0,01;0,01;0,09;0,11;2021-08-06 15:01:00
0;0,01;0,01;0,12;0,13;2021-08-06 15:31:00
0;0,01;0,01;0,13;0,1;2021-08-06 16:01:00
0;0,01;0,01;0,11;0,11;2021-08-06 16:31:00
0;0,01;0,01;0,08;0,12;2021-08-06 17:01:00
0;0,01;0,01;0,19;0,13;2021-08-06 17:31:00
0;0,01;0,01;0,12;0,09;2021-08-06 18:01:00
0;0,01;0,01;0,2;0,14;2021-08-06 18:31:00
0;0,01;0,01;0,13;0,15;2021-08-06 19:04:00
0;0,01;0,01;0,12;0,11;2021-08-06 19:31:00
0;0,01;0,01;0,14;0,14;2021-08-06 20:01:00
0;0,01;0,01;0,14;0,12;2021-08-06 20:31:00
0;0,01;0,01;0,14;0,11;2021-08-06 21:01:00
0;0,01;0,01;0,13;0,1;2021-08-06 21:31:00
0;0,01;0,01;0,14;0,19;2021-08-06 22:01:00
0;0,01;0,01;0,13;0,13;2021-08-06 22:31:00
0;0,01;0,01;0,16;0,15;2021-08-06 23:01:00
0;0,01;0,01;0,11;0,1;2021-08-06 23:31:00
0;0,01;0,01;0,14;0,18;2021-08-07 00:01:00
0;0,01;0,01;0,12;0,11;2021-08-07 00:31:00
0;0,01;0,01;0,17;0,13;2021-08-07 01:01:00
0;0,01;0,01;0,12;0,15;2021-08-07 01:31:00
0;0,01;0,01;0,14;0,11;2021-08-07 02:01:00
0;0,01;0,01;0,12;0,16;2021-08-07 02:31:00
0;0,01;0,01;0,12;0,16;2021-08-07 03:01:00
0;0,01;0,01;0,14;0,15;2021-08-07 03:31:00
0;0,01;0,01;0,12;0,14;2021-08-07 04:01:00
0;0,01;0,01;0,15;0,13;2021-08-07 04:32:00
0;0,01;0,01;0,09;0,17;2021-08-07 05:01:00
0;0,01;0,01;0,1;0,12;2021-08-07 05:31:00
